'Magexperts Commerce','Magexperts Commerce'
'Enabled','Enabled'
'Facebook Pixel','Facebook Pixel'
'General','General'
'Enable Facebook Pixel','Enable Facebook Pixel'
'Pixel ID','Pixel ID'
'Event Tracking','Event Tracking'
'Select pages to disable pageview','Select pages to disable pageview'
'Product View','Product View'
'Category View','Category View'
'Add to Cart','Add to Cart'
'Initiate Checkout','Initiate Checkout'
'Purchase','Purchase'
'Add to Wishlist','Add to Wishlist'
'Registration','Registration'
'Subscribe','Subscribe'
'Search','Search'
'Disable Pageview on','Disable Pageview on'
'Set parameter value of event Add to cart','Set parameter value of event Add to cart'
'Set Value','Set Value'
