"Customer Group","Customer Group"
"Maximum Qty","Maximum Qty"
"Add Maximum Qty","Add Maximum Qty"
"Minimum Qty","Minimum Qty"
"Add Minimum Qty","Add Minimum Qty"
"Inventory","Inventory"
"Product Stock Options","Product Stock Options"
"Minimum Quantity Allowed for Entire Cart","Minimum Quantity Allowed for Entire Cart"
"Message Alert For Minimum Value","Message Alert For Minimum Value"
"Insert ""-conf-"" for config value and ""-cart-"" for cart value. Ex: ""The fewest you can purchase is -conf-, you already have -cart-!. Limit 100 characters.","Insert ""-conf-"" for config value and ""-cart-"" for cart value. Ex: ""The fewest you can purchase is -conf-, you already have -cart-!. Limit 100 characters."
"Maximum Quantity Allowed for Entire Cart","Maximum Quantity Allowed for Entire Cart"
"Message Alert For Maximum Value","Message Alert For Maximum Value"
"Insert ""-conf-"" for config value and ""-cart-"" for cart value. Ex: ""The most you can purchase is -conf-, you already have -cart-!. Limit 100 characters.","Insert ""-conf-"" for config value and ""-cart-"" for cart value. Ex: ""The most you can purchase is -conf-, you already have -cart-!. Limit 100 characters."
"General","General"
