Magexperts Commerce,Magexperts Commerce
AJAX Quick View,AJAX Quick View
General,General
Enable,Enable
Choose 'yes' to enable module.,Choose 'yes' to enable module.
Show Additional Infomation,Show Additional Infomation
Show Go To Product Link,Show Go To Product Link
Show Reviews and Ratings,Show Reviews and Ratings
Show add to compare,Show add to compare
Show add to wishlist,Show add to wishlist
Show Related Product Block,Show Related Product Block
Show Up-sell Product Block,Show Up-sell Product Block
Show mail-to,Show mail-to
Quick View Popup Design,Quick View Popup Design
Button text color,Button text color
Button text,Button text
Button color,Button color
