"%1 delivers a latest version updates %2. Please update as soon as possible to enhance performance and functionality.","%1 delivers a latest version updates %2. Please update as soon as possible to enhance performance and functionality."
"More details","More details"
"Incoming Message","Incoming Message"
"Magexperts Commerce","Magexperts Commerce"
Information,Information
"Installed Modules","Installed Modules"
"Root Folder","Root Folder"
Configuration,Configuration
"Enable Magexperts Popup","Enable Magexperts Popup"
"Turn on Magexperts Commerce Module's new version and Promotion notifications","Turn on Magexperts Commerce Module's new version and Promotion notifications"
"Additional CSS","Additional CSS"
"Add your custom style to frontend","Add your custom style to frontend"
"Enable Preprocessed CSS","Enable Preprocessed CSS"
"Choose 'Yes' if CSS not apply at frontend","Choose 'Yes' if CSS not apply at frontend"
